,Name,Description,date_guess,type_guess
179,"*Sandy Springs, GA","Sat afternoons (2-5)<br>McDaniels Qn2 (BBQ)<br>(bbq comes with 2 sides is what the new name means.)<br>200 Johnson Ferry RD<br>Atlanta, GA<br><br>If coming from out of town, then email me that week for confirmation of jam.<br>pgustafson53@gmail.com<br><br>Updated CR 8/6/2022",Sat afternoons,weekly gathering
180,"*Blackfoot, ID","Fiddle Jam<br>Open to all instruments<br>4th Mondays<br>7-8pm<br>Snake River Strings<br>1010 W Bridge STE B, C, & D<br>Blackfoot, ID<br><br>https://www.facebook.com/snakeriverstringsco<br><br>CR 10/12/2022",4th Mondays,weekly gathering
181,"*Boise, ID","Old Time Open Jam <br>Mondays, 6-8:45pm<br>Pengilly's Saloon, <br>513 W Main St, Boise, ID   <br>https://www.facebook.com/events/385439690424048/385439717090712/?<br><br>  Updated CR 2/5/23","Mondays, 6-8:45pm",weekly gathering
183,"Moscow, ID","Palouse Folklore Society<br><br>SLOW JAMS (Second and fourth Saturdays) from 1-3 PM 314 East Second St. attic (up the long driveway and up the back stairs.) For any interested folk musicians. All experience levels welcome, including raw beginners. We may go over a piece more than once.<br><br>http://palousefolk.org/<br><br>CR 4/23/2020",Second and fourth Saturdays,weekly gathering
185,"*Sandpoint , ID","After about 15 years in limbo, the North Idaho (Bonner and Boundary counties) Dist. 1a chapter of the Idaho Old-Time Fiddlers Association has been re-instated! You ready to make some music?<br>We’ll be getting together to jam on old-time, bluegrass, early country music, Western Swing and other styles of music and sharing our tunes with the community with free concerts on a regular basis.<br>This is for acoustic instruments - fiddlers, mandolin players, ukuleles, banjo guitar, penny whistle, upright bass, cello, harmonica and on and on.<br><br>https://www.facebook.com/david.gunter.127<br><br>CR 4/28/2022",free concerts,annual event
186,"Sandpoint, ID","Slow Contra and more… Every Monday (unless a holiday)<br>6 P.M to 9 P.M. At the Sandpoint Library.<br>1407 Cedar St, Sandpoint, ID 83864<br>Come up the stairs on the side parking lot<br>Contact: fishmts@gmail.com<br><br>We mainly play tunes from the Portland Collection and the Fiddler’s Fake Book . We’ll play the tune slowly if requested and then attempt it at a quicker speed. We also welcome old time, bluegrass and other acoustic music. If you have chords, sheet music or willingness to teach by ear, we’ll try to play your selection. We’ll have as few as four on poor weather days and more than 20 during warmer months.                     Updated JS 2/2/23",Monday,weekly gathering
187,"*Sugar City, ID","Old Time Jam<br>1st and 3rd Mondays<br><br>I will be hosting Old Time-ish acoustic jams at my house in Sugar City on the 1st and 3rd Mondays from 1 to 3 pm. Message me for more details. Should work for January, February and March of 2022. After that we will see if there is any interest.<br><br>Contact: Scott Holmen<br>https://www.facebook.com/scott.holmen.1<br><br>CR 1/16/2022","January, February and March of 2022",weekly gathering
188,"Twin Falls, ID","Update to this event is pending.                   District 6 of the Idaho Old Time Fiddlers hosts an open jam session on the first Wednesday of each month at  the Idaho Pizza<br>Company, 1859 Kimberly Road in Twin Falls from 6:00-8:00 p.m. The public is invited to attend and acoustic string instrument <br>musicians are welcome to participate.                    Updated JS 2/2/23",Wednesday,weekly gathering
191,"Batavia, IL","Fox Valley session on the second Thursday of every month. Private venue in Batavia,IL. Message Lynn Garren for details.                             Update pending JS 2/2/23",Thursday,weekly gathering
192,"*Bloomington, IL","Old Time Jam<br>Tuesday 5-7 pm at McLean County Museum of History, 200 N Main St. Bloomington Il.<br><br>CR 10/23/2022",Tuesday 5-7 pm,weekly gathering
193,"Charleston, IL","<img src=""https://doc-04-a0-mymaps.googleusercontent.com/untrusted/hostedimage/mssabsa7slgdk9jv14qogv6rfg/6kfiv7477ebs3csccuujf43ol8/1679292013750/Rwzruwph7FP6RHOal8qpCwcnwKUrNFzH/06273081418702902963/5AI-xGzxNOSDumwfFwKUszyqaZx3vybkyGgFZ8139Gl7gnhPqN6rlRmNuBRUnvBXwDIEwTc37S-350vSaq8mAknDV9PuidNX7Z7gct6H7-dcUgmAVxX2CHy7YGfhaKNoQFFbP1sT_5NYlGJQUYWqCcJl9OfasSrrkqTumzwZ3w8rdU11kNFhtBh3I3AIEIIg7kNRQC8Q?session=0&fife"" height=""200"" width=""auto"" /><br><br>Old Time Jams at Roc’s Blackfront Tavern <br>410 6th St, Charleston, IL<br>featuring tunes from the Dear Old Illinois collection.<br>Sunday, 2:00 - 5:00pm<br>June 9, 2019<br>July 14<br>Aug. 4<br>Sept. 22<br><br><br>CR 6/3/2019",Sunday,weekly gathering
195,"Chicago, IL","Windy City Jammers                                                The Lincoln Restaurant<br>4008 N. Lincoln Avenue Free parking in lot just west of Lincoln/Damen off Irving Park.                Weekly on Monday (view full repeat details)<br>Start: 7:00 pm<br>End: 10:00 pm.                                                          A banjo-originated group of Chicago-area musicians, the Jammers have been playing together weekly for decades. The type of music played and sung by its members varies from old-time Dixieland and Tin Pan Alley songs to pop style songs of the 30s through 60s, many of which have become standards in jazz. The core performers have logged hundreds of concerts together, but you're welcome to join us anytime -- no audition. And while it doesn't hurt, banjo or any instrument mastery is not required. Currently, while predominantly banjos, the band also has a trumpet player, a trombonist, a guitarist, a mandolinist, a washboard player, a bass player, a fiddler, an accordianist -- and even a high-tech Digital Horn. There are generally at least a dozen players (some also sing)and sometimes more than twenty. We generally take off most holidays that fall on Mondays.                  Updated JS 2/2/23",Monday,weekly gathering
196,"Chicago, IL","Old Town School Weds-Noon Jam.                       Old Town School of Folk Music - Lincoln East<br>4544 N. Lincoln<br>Chicago, IL 60625.                                                    Noon-2pm. We meet Wednesdays between noon and 2 pm. The core group is guitar, banjo, mandolin, fiddle, harmonica -- sometimes a bass player, plus whoever stops by -- we invite people to play, sing, or request songs. We're visible as you walk in the front door, playing in the Lobby to the left. No need to be a student at the School. Please check out other open jams happening weekly at this location.<br> https://www.oldtownschool.org/ <br>Updated JS 2/2/23",noon and 2 pm,weekly gathering
197,"Chicago, IL",Chicago's Tuesday evening old time string band jam has moved (just across the street) to the basement of the Old Town School of Folk Music's old building. 7:30-10 p.m. if you're in town!<br><br>Updated CR 9/25/2019,Tuesday,weekly gathering
207,"Council Hill Station, IL","<img src=""https://doc-08-a0-mymaps.googleusercontent.com/untrusted/hostedimage/mssabsa7slgdk9jv14qogv6rfg/72u2qcuj08t77k7pnscdggd7tg/1679292013750/Rwzruwph7FP6RHOal8qpCwcnwKUrNFzH/06273081418702902963/5AI-xGzwQmsioH4MjOVe3R2OAkjZ4EDQrvYBwzxa7wZvzRYqqeGta4lHDeixS7dPRbqJPdito5GAG1MI9PChR5RRrdH5rxy4YcBvazZxyNl3MBFPlhojI7-Hs0BDpJnkzrCu1BfMUolX5gXwQMKjgG0Vlr-EdkeIuIWvPgLa7KoJ8lE2JpDeBG0ycf-TIxS7gL-14RaY?session=0&fife"" height=""200"" width=""auto"" /><br><br>Old Time Open Jam at Council Hill station, IL every friday. 7pm. Please call ahead to verify. ",friday. 7pm,weekly gathering
208,"Decatur, IL","The Decatur IL jam is on haitus. We'll be back eventually with a new schedule, but haven't quite worked it out yet.<br><br><br>Brew Works                                                    Decatur Illinois has a jam every third Wednesday of the month from 7 - 9 pm at Decatur Brew Works. Everyone's welcome!",Wednesday,weekly gathering
209,"Downers Grove, IL",Plank Road Folk Music Society- Sing Around.      Two Way Street Coffee House- Plank Road Folk Music Society<br>1047 Curtiss LL west entrance                              Monthly on 1st & 3rd Saturday <br>Start: 2:00 pm<br>End: 4:00 pm                                                             Homepage: http://www.PlankRoad.org<br>Contact Name: Carol<br>Contact Phone Number: 6306325091                 No experience necessary. Sing or bring your instrument and join in the fun.,1st & 3rd Saturday,weekly gathering
210,"Effingham, IL","<img src=""https://doc-04-a0-mymaps.googleusercontent.com/untrusted/hostedimage/mssabsa7slgdk9jv14qogv6rfg/7i1lrm62k7j4h3cdarj3nqfuik/1679292013750/Rwzruwph7FP6RHOal8qpCwcnwKUrNFzH/06273081418702902963/5AI-xGzyDaHV6gx-KapMHtUirh4_9ib_BNsFoB17ontu_tF9vwSHdMb0dyG2W1WitQ2BSie-uykPc82vwLfF79qsGk2CkGle3SsPSOpsPtgnpXKwQZqGL7rv3j5o-tsxchjVQ7SbZAEgeNXZa689MQKvsD9PiZczH77PpJll-O_J02dWGZJMLypCEtvpB-CALkDljceGR?session=0&fife"" height=""200"" width=""auto"" /><br><br>Third Sunday Jams.<br>2-5 PM<br>Acoustic, Old Time, Bluegrass<br><br>Chestnut Music <br>110 S Front St. Effingham, IL<br>come in the Studio Entrance.<br><br>CR 1/7/2020",Third Sunday,weekly gathering
212,"Evanston, IL","Kafein Old Time Fiddle Jam. Every 4th Wed of the month.                                                                     Join local fiddle aficionados Charlie Walden & Patt Plunkett (aka Patt & Possum) every 4th Wednesday of the month as they lead an old-time fiddle jam featuring “northern” tunes from the Upper Midwest, Canada, New England and beyond. Bring your fiddles, mandolins, guitars and other such instruments and play along with the reels, hoe-downs, jigs, hornpipes, waltzes, schottisches and hambos.<br><br>For more info check the “Northern Jam Info” link at http://www.charliewalden.com. There you’ll find a list of basic session tunes and links to download music.                                                          <br>Contact<br>847-491-1621<br>1621 Chicago Ave.<br>Evanston, IL. 60201<br>Buzzedonkafein@gmail.com",4th Wednesday,weekly gathering
214,"Grayslake, IL","The Acoustic Music Jam                                        Lord of Glory Lutheran Church<br>607 West Belvidere Road On IL Route 120, West of Alleghany Road/East of Hainesville Rd.          The jam is usually held twice a month, on each 2nd and 4th Friday, from 8:00 PM until about 11:30 PM (sometimes runs later). The jam is housed in the Lake County area.                          Musical styles played at the jam: Folk, Folk-Rock, Rockabilly, Acoustic Pop, Acoustic Rock, Blues, Americana, Bluegrass, Country & Western, Old-Timey, Gospel, Song Circle.                             For more information about The Acoustic Music Jam, please contact:<br>Jeff Justman at 847-989-9634 or<br>E-mail: jazzmanjeffjustmanmusic@yahoo.com",2nd and 4th Friday,weekly gathering
215,"Macomb, IL",WITMA Acoustic Jam.                                             First Presbyterian Church<br>400 E. Carroll                                                            Monthly on 2nd Friday <br>Start: 7:00 pm<br>End: 10:00 pm                                                          <br>WITMA - Western Illinois Traditional Music Association<br><br>Monthly acoustic jam. Tends to lean heavily toward bluegrass but is in no way limited to that genre.<br><br>https://www.facebook.com/groups/witma/?fref=gs&dti=390588871395459&hc_location=group<br><br>updated CR 1/1/2019,2nd Friday,weekly gathering
216,"Naperville, IL ","Weekly Saturday Morning Acoustic jam. Riverwalk Pavilion across from the library. 800am to Noon.<br> Contact russ.swanson@gmail.com for more info. Warning....in addition to old time, other acoustic genres may be played.",Saturday,weekly gathering
218,"Oak Park, IL","Open Jam on Saturdays at The Buzz Cafe (7:00 AM - 11:00 AM)-One instrument only!, A mix of Old Time, Folk and Bluegrass.                                        Added by J.S. 1/11/19",Saturdays,weekly gathering
219,"Oak Park Arms, IL","Open jam, Saturdays (9:30 AM - 12:30 PM)            A mix of Old Time, Folk and Bluegrass                        Added by J.S. 1/11/19",Saturdays,weekly gathering
221,"River Forest, IL","Open jam at The Good Earth Greenhouse and Cafe. Saturdays 10am-1pm. A mix of Old Time, Folk and Bluegrass.                                                            Added by J.S. 1/11/19",10am-1pm,weekly gathering
223,"Shelbyville, IL","Illinois Old-Time Fiddlers Association Monthly gathering.                                                                   Forest Park Lions Club Building<br>Forest Park, N 9th St E.                                           Monthly on 3rd Sunday<br>Start: 2:00 pm<br>End: 5:00 pm                                                             The focus of the gathering is on keeping fiddle music alive, but the round-robin group also sings song (gospel, country, and tin-pan alley). Anyone interested in playing the fiddle, playing back-up for fiddlers, or just wanting to hear some fiddle music is welcome!                                                   More info at: Homepage: http://www.illinoisoldtimefiddlers.org",3rd Sunday,annual event
224,"Springfield, IL","Capital City Music Old Time Open Jam <br>2-5 on every 3rd Saturday<br>3700 Wabash Ave, Springfield, IL",Saturday,weekly gathering
226,"Springfield, IL","UIS Old Time Music Jam Session                          2nd and 4th Wednesdays of each month, 7pm - 9:30pm. Visual & Performing Arts Building, room VPA 33, now renovated and renamed the Polly Roesch Music Room.<br><br>Parking lot A is the best place to park. Come in the building on the NW side of that lot. Or for those of you accustomed to lot B, just come over from there -- see map at this link. VPA is building number 4 on the map at the following link: UIS Campus Map<br><br>For information contact Kathy Simpson at: ksimp3@uis.edu, or 217-206-6240                      Homepage: http://www.folkjam.org/node/4447<br>Contact Name: Kathy Simpson",2nd and 4th Wednesdays,weekly gathering
227,"*Urbana, IL",Urbana Champaign Weekly Old Time Jam. Every Thursday 7-9PM.<br>Except Thanksgiving<br> Lincoln Square Mall<br>In East hallway behind Common Ground Food Coop. Message Ed Hawkes for more information. <br>Updated CR 7/4/2022,Thursday,weekly gathering
229,"Bloomington, IN","First Wednesdays 8 - 10:15 pm<br>Open Mic (meaning open band) play for contra dance at Harmony School, 909 E 2nd St, Bloomington, IN<br>http://bloomingtoncontra.org/<br>CR 11/12/2019",8 - 10:15 pm,weekly gathering
232,"Goshen, IN","Goshen Old Time Enthusiasts (GOTEs) jam from 9:30 to 11:30am every 2nd and 4th Saturday mornings at the Mill Race Farmers Market, 212 W Washington St., Goshen, IN",Saturday,weekly gathering
233,"Indianapolis, IN ","Indy Old Time Music Jam<br>3rd Tuesdays<br> 7 PM – 10 PM<br>Square Cat Vinyl<br>1054 Virginia Avenue, Indianapolis, Indiana<br>https://www.facebook.com/events/603143943754852/<br><br>Updated CR 1/20/2020",3rd Tuesdays,weekly gathering
235,"Lafayette, IN","Lafayette Area Folk Music Society (LAFS)           Wells Community Cultural Center<br>638 North Street                                                        Monthly on Last Sunday <br>Start: 1:30 pm<br>End: 4:00 pm                                                             Contact Name: Edwin Layer and Roger Reiger<br>A casual jam focusing primarily on old-time folk music with some traditional bluegrass. Arrangements are usually played pretty slow, so this is a good jam for beginners to come and learn new tunes.",Last Sunday,weekly gathering
236,"Lafayette, IN","Lafayette Bluegrass Jammers                                Wells Cultural Center<br>638 North St. North St & N 7th St                          Monthly on 1st Saturday, 3rd Saturday, 5th Saturday <br>Start: 5:00 pm<br>End: 11:00 pm                                                            sponsered by the Tippecanoe Arts Federation.<br><br>Enter through the door on the west side on the building. The jam is in the basement level and the front door to the building is kept locked.<br><br>Children are encouraged to participate. Beginners are always welcome.<br><br>Although primarily a bluegrass jam, some jammers also enjoy old time, fiddle tunes and old country.<br><br>For more information, and to be added to the email list, contact glossic@msn.com Please call contact number (above) to confirm jam dates if you are not on the email list. During the months of June, July and August, the jam schedule is limited to one jam per month. To find out the summer jam dates, call (765)532-6086.","June, July and August",weekly gathering
239,"Charles City, IA",Hi all! I am now hosting a jam at a private residence in Charles City IA. Once a month for now. The first one starts this Thursday (Oct 24) We may have another yet this month. Depends on this Thur. and the turn out. Feel free to PM me (John Dotson) for additional details.<br><br>https://www.facebook.com/john.soundenbury<br><br>CR 10/23/2019,Thursday,weekly gathering
240,"Kalona, IA ",35th Annual Kalona Bluegrass Festival                   No date set yet for 2022.                                          Kristie Black 319-330-2413/2462                            bkblack@netins.net                                             Paul Roberts 319-683-2222  pjroberts@sharontc.net                                              Info:   https://www.banjoy.com/kalonabluegrassfestival/                                                                               JS 7/12/21                       ,35th Annual,annual event
241,"Council Bluffs, IA ","Jam and Bread at Western Historic Trails Center<br>3434 Richard Downing Ave, Council Bluffs, IA<br> An open Acoustic Jam, Council Bluffs, IA<br> Contact Western Historic Trails Center for info<br> 712-366-4900",Jam,annual event
242,"Davenport, IA","Quad Cities Acoustic Jam<br>Every Thursday Night 6:30 PM - 8:30 PM Playing Old Time, Bluegrass, and Folk tunes and songs. Various locations in and around the Quad City area. Call 563-649-3312 if interested in jamming and will provide the weeks location.                         JS 11/4/19",Thursday,weekly gathering
243,"*Des Moines, IA","Fiddlers’ Association of Iowa<br>We meet in the Masonic Lodge Community Room at 1111 Randolph Street (2 blocks north of Army Post and 2 blocks west of SW 9th street) on the first Tuesday of each month. We have a slow jam to learn a new tune at 6:30, and then musicians can sign up to play 3 tunes with a great house backing band. We love to learn new tunes and to share tunes we know.<br><br>We have a small meeting around 8pm to give any news or updates, and then go back to playing music until all have had a chance to play. After that it's a circle jam.<br><br>http://fiddlers-association-of-iowa.weebly.com/<br><br><br>CR  6/25/2022",Tuesday,weekly gathering
246,"*Iowa City, IA","Old Time Music Tuesday Jam, <br>We play at Trumpet Blossom Cafe 310 E. Prentis, Iowa City,<br>Usual times---7:30-10-ish<br>All Music, All Musicians Welcome<br>In Fact VERY Welcome<br>Come Join Us!                                                               JS 7/13/21                                                            ",Tuesday,weekly gathering
250,"Muscatine, IA",Muscatine Old Time Jam<br>Every Monday Night                               7:00 PM - 9:00 PM                 117 W. 3rd St. - The Clark House                             563-649 3312,Monday,weekly gathering
251,"Bel Aire, KS","Great Plains Dulcimer Alliance<br>Jam 3rd Saturdays Except Sept, Nov and Dec.<br>1:30 - 4pm<br>The Senior Center and community room are located at 7651 East Central Park Avenue, in the City Hall building.<br><br>Mountain dulcimer, hammered dulcimer and other acoustic musical instruments welcome<br>Tablet sheet music welcome.<br><br>https://www.facebook.com/Great-Plains-Dulcimer-Alliance-302281836485688/<br><br>CR 8/17/2019",Jam 3rd Saturdays,weekly gathering
252,"Derby, KS","Old time Jam<br>Wednesdays 7-9pm<br>VFW 101 S Baltimore Ave, Derby, KS<br><br>CR 7/20/2019",Wednesdays 7-9pm,weekly gathering
253,"De Soto, KS","Kansas Oldtime Fiddlers, Pickers & Singers          Senior Center/City Hall Building<br>32905 W. 84th St.                                                    Monthly on 3rd Friday <br>Start: 3:00 pm<br>End: 9:00 pm                                                                                    ",Friday,weekly gathering
254,"Garden City, KS","Acoustic Jam<br>Every Wednesday evening starting at 8:00 p.m.<br>Fool Moon Saloon<br>1621 Taylor Plaza West<br>Garden City, KS<br>620-805-6353<br> <br>All acoustic jam, all genres of music from blues to folk to country, all ability levels welcome<br>Come out and enjoy an evening of great music in a living room kind of setting…<br>A review from a traveler:<br>Circle in a lounge. Lots of different kinds of music. People in the lounge sang along with familiar songs. <br><br>CR 7/20/2019",Wednesday,weekly gathering
256,"Iola, KS","Kansas Old Time Fiddlers, Pickers, and Singers<br>Third Sunday of every month at 1 p.m<br>Year around. 3rd Sunday of each month, from 1:00-4:00 pm, at the Dr. John Silas Bass North Community Center, 505 N. Buckeye St., Iola. Musicians and music lovers of all ages, please join us for monthly meetings providing opportunity for fun and fellowship. There is no admission fee to the monthly meetings and guests are always welcome to just listen or perform. A group of ""regulars"" on stage are always ready to join in while others play along in the background, learning new songs or just ""honing their licks"". Musicians of all levels of proficiency are encouraged to participate. Oldtime music is a style of music not necessarily related to a date in time. It may be gospel, swing, bluegrass or country and western as well as other genres. It may be related to events or people. It has a recognizable tune and has a good even beat and rhythm to which people could dance. It might be music that has been performed or recorded by a well known artist. It could be music you learned while listening to friends and family playing on the front porch.<br><br>Notes:<br>Please bring a covered dish to share.<br>https://apm.activecommunities.com/iolarecreation/activity_search/kansas-old-time-fiddlers-pickers-and-singers/17?<br>CR 4/25/2019",3rd Sunday,annual event
257,"*Lawrence, KS","Old Time Fiddle Tunes Jam<br> Meets the first, second and third Sundays of each month. We gather at 5:00, for a fine Early Bird Special potluck dinner at 5:15, then we jam until 8:00.. Hosting is shared by many venues in the Lawrence, Kansas area. Please contact Steve Mason, ask.a.luthier@gmail.com, 785-841-0277, to get this weeks address  <br><br>We have met every Sunday for 24 years. All (acoustic, stringed) instruments and all styles are welcome but the focus of the event is on playing dance tunes in the old time fiddle style.<br>Updated CR 10/25/2021","first, second and third Sundays",weekly gathering
258,"*Lawrence, KS","OT jam every Friday from 2-4pm at Beautiful Music Violin Shop<br>925 Iowa St i, Lawrence, KS<br><br>Updated CR 10/7/2022",Friday,weekly gathering
259,"*Lawrence, KS","Americana Music Academy<br>We meet the first, second and third Sundays of the month, 6:00 to 8:00pm. <br> All (acoustic, stringed) instruments and all styles are welcome, but the focus of the event is on playing dance tunes in the old time fiddle style. Greg Pelligreen, gpell@sunflower.com, hosts.<br><br>Updated CR 4/4/2022","first, second and third Sundays",weekly gathering
260,"Lawrence, KS","Papa Keno's Pizza Mud Stomp. Next to the Watkins Museum of History. This jam is on the out-door back patio and is, hence, weather dependent. Monday band practice has kept me away from this jam, but I got there last Monday. And, it was canceled for cold weather, and it had been canceled the previous week for rain. There is still the potential for adequate playing conditions yet this year, so keep a weather eye out. Old Time Open Jam.                                            Added by JS 5/20/19",Monday,weekly gathering
264,"Leavenworth, KS","Wildwood Saloon<br>325 Delaware<br>Leavenworth, KS 66048<br>(913) 651-9060                                                        This is a bi-weekly jam hosted by Dave Barnett and Mark Roberts of<br>The Silas Dogan Band.<br><br>Come and bring your instruments and vocals it is a fun night and Wednesday's is .50 wing night.<br><br>Please call ahead to confirm this event<br><br>Wednesday 7 - 10pm",Wednesday 7 - 10pm,weekly gathering
265,"Olathe, KS","Tuesday Tunes with Betse Ellis                            Monthly on 1st Tuesday <br>Start: 6:30 pm<br>End: 8:30 pm                                                             Contact Name: Ralph Tomlinson<br>Contact Phone Number: (913) 971-6889<br>Join us at the Olathe Public Library, 201 E. Park Street, Olathe, KS 66061, from 6:30 p.m. until 8:30 p.m., the first Tuesday of every month for an acoustic jam session led by Betse Ellis, http://fiddlebetse.com. Ellis, a founding member of The Wilders, plays fiddle, tenor guitar, and sings folk music. While she loves Ozark folk music, she is known to bust down on some bluegrass, country, and early blues music whenever the mood hits her. All skill levels welcome. Come play, sing or just enjoy the music. No Registration Required.",Tuesday,weekly gathering
266,"* Overland Park, KS","Whiskey Withdrawal First Saturday Jam<br>1st Saturday session in Downtown Overland Park Saturday Morning. <br>Session at the InterUrban ArtHouse at 10am. The old Post Office Building. 8001 Newton, Overland Park, KS. Contact Laura with questions - 913 660 4996.<br><br>Playing chairs provided.<br>Donation only coffee bar available.<br><br>CR 4/4/2022",Saturday,weekly gathering
268,"Pittsburg, KS","Good Morning everyone!  This is a monthly open jam on the 4th Sunday of every month, 1-3pm at the Crawford County Historical Museum, <br>651 Frontage Road, Pittsburg, KS. (just off 20th and the by-pass) Here's a list of the first 10 songs I thought we could start with...<br>G Soldiers joy<br>D Angeline the Baker<br>D Fisher's Hornpipe<br>A Greasy Coat<br>D Over the Waterfall<br>D Whiskey Before Breakfast<br>A Liberty<br>D Chicken Reel <br>D Arkansas Traveler<br>G Turkey in the Straw<br><br>If you join the POTFAP group I'll be posting the music/Tab/chord sheets for the above tunes, <br>Until then Happy Fiddlin'",4th Sunday,weekly gathering
269,"*Prairie Village, KS","There is typically a once a week afternoon/evening weekday jam at Meadowbrooke Park, 94th and Nall. Since this jam is weather dependent, if you want to be on the list to get last minute notices, contact Carl Gustafson, cgustafson705@gmail.com<br><br>CR 7/13/2021",once a week,weekly gathering
270,"Spring Hill, KS","Kansas Oldtime Fiddlers and Pickers Jam   Spring Hill Civic Center<br>401 N. Madison                                                        Monthly on 2nd Friday, 4th Friday <br>Start: 5:30 pm                                                            (913)592-3664 (Spring Hill Civic Center)<br>2nd (KOFPS Chapter) & 4th Fridays - Pot Luck starts 5:30 PM<br>Julie Joeckel (913)592-3983 or Sylvia Landis (913)681-2729","2nd Friday, 4th Friday",weekly gathering
276,"*Berea, KY","Jammin on the Porch<br>Every Thursday in the Summer<br>7-9pm<br><br>Berea Welcome Center<br>3 Artist Circle, Berea KY<br><br>https://visitberea.com/events/?<br><br>CR 7/14/2021",Thursday,weekly gathering
277,"*Berea, KY","Every Thursday<br>7-9pm<br> Jammin’ on the Porch<br>Russel Acton Folk Center 212 W Jefferson Street, Berea, KY<br><br>Bring your instrument and join in the jam session, or feel free to just sit and tap your toes. Father and daughter duo, Lewis and Donna Lamb host the free event from 7:00-9:00pm. Bring your own chair.<br>FREE <br><br>https://visitberea.com/events/<br><br>CR 11/28/2022",Thursday,weekly gathering
278,"Georgetown, KY   • Slainte Public House OT Open Jam","OT jam at Slainte Public House in Georgetown, KY second and fourth Wednesday of every month. 7-9 pm all welcome!",Wednesday,weekly gathering
279,"Lexington, KY","Songfarmers Of Lexington, KY Open Jam               First Thursday of the month. 6:30-8:30pm            Community Jam - Bring your instrument, your voice, and a song! Or just come to listen or sing along!",Thursday,weekly gathering
280,"Lexington, KY","Old Time Open Jam hosted by Stephanie Jeter<br>Monday at 6:30 PM - 9 PM<br><br>A weekly jam for enthusiasts of old-time fiddle tunes and songs from the Appalachian string band tradition. Bring your instrument and join, or sit and enjoy. The Broomwagon offers a delicious selection of food and drinks.<br><br>Broomwagon Coffee + Bikes<br>800 N Limestone, Lexington, Kentucky 40505<br><br>https://www.facebook.com/brmwgn/",Monday,weekly gathering
281,"Louisville, KY","Every Sunday, 4PM, we gather and share songs, food, and company. Kids of all ages, musicians of all stripes, cooks of all talents, and listeners of all appreciations are welcome. What happens depends on who shows up.<br>	<br>American Turners-Louisville<br>3125 River Rd Apt 1, Louisville, Kentucky<br><br>https://www.facebook.com/groups/1480828462224928/<br><br>CR 1/4/2020",Sunday,weekly gathering
282,"Somerset, KY","Lake Cumberland Jammers                                       The Carnegie Community Arts Center<br>107 North Main Street                                                 Weekly on Tuesday <br>Start: 6:00 pm<br>End: 8:30 pm                                                                 Contact Name: Joe LaMay<br>Contact Phone Number: 606-305-6741<br>Weekly open acoustic instrument jam. Folk, Bluegrass, Country, Old-Timey, and Gospel. Musicians sit in a circle and take turns leading the others in songs. Plenty of room for instrumental breaks and vocal harmonies. Listeners are also welcomed. $2.00 donation. Coffee and snacks provided free.",Tuesday,weekly gathering
283,"Port Allen, LA","Old Time Music Open Jam Session<br>Every 2nd Sunday!<br>4:00 pm to 06:00 pm<br><br>Anyone with an acoustic instrument is welcome to join in the fun and music lovers are welcome to sit back and enjoy listening to old time,  country, bluegrass, Cajun and folk tunes. Free and open to public! <br><br>CR 11/*4/2019",4:00 pm to 06:00 pm,weekly gathering
284,"Bangor, ME","Contra Dance Open Band practice first Sundays of the month from 3:30 to 5pm , at Central Meeting House, 30 Central Street in Bangor.<br><br>http://www.bangorcontra.org/openband.php<br><br>CR 4/14/2019",3:30 to 5pm,weekly gathering
286,"Ellsworth, ME","Old Time Open Jam at Fogtown Brewing Company, Ellsworth, ME every Tuesday evening   Starts at  5:30-8:30pm I’m the contact person! 607-341-0528                                                               Added by J.S. 5/4/19",Tuesday,weekly gathering
287,"Portland, ME","Old time, Appalachian jam                                         317 in Yarmouth                                                         Weekly on Tuesday <br>Start: 7:00 pm<br>End: 9:30 pm                                                                 Contact Phone Number: 207-767-2157<br>we have a weekly old time Appalachian jam in Portland, Maine, each Tuesday at 7 pm. We meet at each others homes, except that on the last Tuesday of the month we congregate at the music school called 317 in Yarmouth [that's it's address]. During the warmer months, however, we meet [weather permitting] at Post Office Park in the Old Port, downtown Portland, on Middle St. between Exchange and Market.Friendly, welcoming group, and all instruments are welcome.<br><br>jim atleson<br>atleson@buffalo.edu<br>207-767-2157",Tuesday,weekly gathering
288,"Rockland, ME",Old Time Open Jam                                                     Gelato Rose. 483 Main St.                                         Every 2nd Friday 6-8:30pm                                       Contact:  (207) 902-2550,Friday,weekly gathering
290,"Waldoboro, ME","Attention lovers of Old Time bluegrass, classic country, and sea shanties! Come out to play (or listen) at our jam session. We are lucky to have a wonderful community of musicians in the midcoast area and we would love to have you join us. <br><br>Every Sunday, 1:00 – 3:00, Odd Alewives Farm Brewery, 99 Old Route 1, Waldoboro. FMI: info@oddalewives.com.<br><br>CR 5/4/2019",Sunday,weekly gathering
